epoch,name,layer,iteration,train_r2,test_r2,train_mse,test_mse,subspace_rank,cumulative_dims,singular_values
100,step_000100,0,0,0.9331416540716448,0.926922849038436,0.0111555631506863,0.0119544783662428,2,2,"2.557381,2.189721"
100,step_000100,0,1,0.9239743127027604,0.917206551690336,0.0126825387216407,0.0135748996531128,2,4,"2.819632,1.699241"
100,step_000100,0,2,0.9151160209095984,0.9073676116368752,0.0141572085324221,0.0152186097196167,2,6,"2.101296,1.158609"
100,step_000100,0,3,0.9095169530888992,0.9020607188865284,0.0150895540061226,0.0161035270542009,2,8,"1.833150,1.117527"
100,step_000100,0,4,0.9053620315556392,0.8985638243095645,0.0157816857302523,0.016680566933527,2,10,"1.179149,1.125369"
100,step_000100,0,5,0.90126309169805,0.8955549948374952,0.016465081553809,0.0171751024793274,2,12,"1.239596,1.032622"
100,step_000100,0,6,0.8974621968663499,0.8911437846300879,0.0170989688110721,0.0178988470769415,2,14,"1.415400,0.948258"
100,step_000100,0,7,0.8917835627652752,0.8859695798244326,0.0180465537049481,0.0187421374814646,2,16,"1.490329,1.212602"
100,step_000100,0,8,0.8849177699242018,0.879279847268053,0.0191914205154959,0.0198464719109212,2,18,"1.550585,1.099119"
100,step_000100,0,9,0.8758548812456581,0.8698670367747198,0.020704087369552,0.0213756223827367,2,20,"1.590249,1.016629"
100,step_000100,0,10,0.8672670586455068,0.8596999530088786,0.0221365980994316,0.0230454811587212,2,22,"1.794595,1.093023"
100,step_000100,0,11,0.8571700062570365,0.8493955145343465,0.0238215049062209,0.0247242096877152,2,24,"1.688010,1.082822"
100,step_000100,0,12,0.8411098492214589,0.8342759080413623,0.0265019866045435,0.0271842567174884,2,26,"1.865569,0.878514"
100,step_000100,0,13,0.818129186684697,0.8083411887665023,0.0303392442298686,0.0313962525213171,2,28,"2.472980,0.996514"
100,step_000100,0,14,0.7833443916380748,0.7724454831781563,0.0361497268669833,0.0372364074686259,2,30,"2.122657,1.197780"
100,step_000100,1,0,0.9468890429766892,0.9441112762627698,0.0088574886618576,0.009190133265574,2,2,"1.658165,1.022728"
100,step_000100,1,1,0.9305142925927008,0.9284476790146248,0.0115899843840446,0.0117611932259629,2,4,"1.240502,0.982978"
100,step_000100,1,2,0.9206842747787112,0.9175060606535672,0.0132303538629254,0.0135497858156925,2,6,"1.256863,0.701741"
100,step_000100,1,3,0.9114558943733164,0.9083796858631764,0.0147702664809106,0.0150422702566058,2,8,"1.164591,0.706165"
100,step_000100,1,4,0.9023884754981208,0.8997447862496094,0.0162818907243913,0.0164645654455332,2,10,"1.085853,0.764212"
100,step_000100,1,5,0.8919538887179588,0.8883209685375201,0.0180228649488803,0.0183329225037866,2,12,"1.286349,0.712785"
100,step_000100,1,6,0.8798315210304238,0.874703375340089,0.0200456423701691,0.0205529849435098,2,14,"1.223414,0.689853"
100,step_000100,1,7,0.8668767901923777,0.860219993206304,0.0222078918458237,0.0229229603398973,2,16,"0.980658,0.629197"
100,step_000100,1,8,0.857269771752098,0.846159971550851,0.0238101895466217,0.0252258150189505,2,18,"0.804778,0.697642"
100,step_000100,1,9,0.8466448369269411,0.8337108192340419,0.0255820975221421,0.027261866253396,2,20,"1.084645,0.780383"
100,step_000100,1,10,0.8327396807410056,0.8164678368429947,0.0279009141113944,0.0300994572576414,2,22,"1.288687,0.846782"
100,step_000100,1,11,0.809836785869988,0.7950293789186692,0.0317194961086447,0.0336243572234915,2,24,"1.388740,1.000014"
100,step_000100,1,12,0.7747406852512618,0.756040328400438,0.0375735716692066,0.0399991211912764,2,26,"1.541136,0.915987"
100,step_000100,1,13,0.7443757519763725,0.7316299903049114,0.0426389747278596,0.0439882222793619,2,28,"1.645749,0.976598"
100,step_000100,1,14,0.7058319033703553,0.6920173786138403,0.0490661989944687,0.0504903901805389,2,30,"1.130892,1.019145"
100,step_000100,2,0,0.9414502363655788,0.9367745103357452,0.0097667784538043,0.0103619557181291,2,2,"0.939320,0.769488"
100,step_000100,2,1,0.9263355106574812,0.9216157844717952,0.0122855156480305,0.0128729547913907,2,4,"0.974506,0.715492"
100,step_000100,2,2,0.9138917322656828,0.9112760165153464,0.0143613244680055,0.0145659609531322,2,6,"0.874472,0.461216"
100,step_000100,2,3,0.9045600527766312,0.9041096578139411,0.0159182021958133,0.0157464926324839,2,8,"0.761340,0.567721"
100,step_000100,2,4,0.8937985709072102,0.8944718804679641,0.01771357767329,0.0173228522356262,2,10,"1.029134,0.534649"
100,step_000100,2,5,0.8740165659261021,0.8699224580479971,0.0210167244973009,0.0213130914249467,2,12,"0.924744,0.478437"
100,step_000100,2,6,0.8576854566444135,0.8533164630894889,0.0237415735859761,0.0240303862935635,2,14,"0.876911,0.545492"
100,step_000100,2,7,0.8372349349921094,0.8288842456068749,0.0271535292954165,0.0280370511764331,2,16,"0.979853,0.566579"
100,step_000100,2,8,0.8108607868171758,0.8019311123064791,0.0315544362572743,0.0324626691599433,2,18,"1.478589,0.684448"
100,step_000100,2,9,0.7752987145051452,0.7603373320818251,0.0374904579101589,0.039261358133138,2,20,"1.070414,0.753704"
100,step_000100,2,10,0.7455649391151105,0.7309318199744985,0.0424485249062554,0.0441077896922158,2,22,"0.807784,0.619404"
100,step_000100,2,11,0.7231385215616729,0.7103244505556138,0.0461902020466286,0.0474601645358683,2,24,"1.044705,0.604147"
