method,bits,granularity,symmetric,citation,rank_ratio,weighted,epochs,n_fisher,lr,params,bytes,loss,ranks,loss_per_pos
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.75,True,0,4096,0.0001,231664,926656,2.4799771308898926,"{""blocks.0.attn.W_Q"": 48, ""blocks.0.attn.W_O"": 48, ""blocks.0.attn.W_K"": 48, ""blocks.0.attn.W_V"": 48, ""blocks.0.mlp.W_in"": 48, ""blocks.0.mlp.W_out"": 48, ""blocks.1.attn.W_Q"": 48, ""blocks.1.attn.W_O"": 48, ""blocks.1.attn.W_K"": 48, ""blocks.1.attn.W_V"": 48, ""blocks.1.mlp.W_in"": 48, ""blocks.1.mlp.W_out"": 48, ""blocks.2.attn.W_Q"": 48, ""blocks.2.attn.W_O"": 48, ""blocks.2.attn.W_K"": 48, ""blocks.2.attn.W_V"": 48, ""blocks.2.mlp.W_in"": 48, ""blocks.2.mlp.W_out"": 48, ""blocks.3.attn.W_Q"": 48, ""blocks.3.attn.W_O"": 48, ""blocks.3.attn.W_K"": 48, ""blocks.3.attn.W_V"": 48, ""blocks.3.mlp.W_in"": 48, ""blocks.3.mlp.W_out"": 48, ""unembed.W_U"": 36}","[2.6719, 2.551, 2.5072, 2.4705, 2.482, 2.4684, 2.4392, 2.4462, 2.4642, 2.431, 2.4598, 2.4602, 2.4549, 2.4509, 2.4516, 2.4705]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.75,False,0,4096,0.0001,231664,926656,2.481928586959839,"{""blocks.0.attn.W_Q"": 48, ""blocks.0.attn.W_O"": 48, ""blocks.0.attn.W_K"": 48, ""blocks.0.attn.W_V"": 48, ""blocks.0.mlp.W_in"": 48, ""blocks.0.mlp.W_out"": 48, ""blocks.1.attn.W_Q"": 48, ""blocks.1.attn.W_O"": 48, ""blocks.1.attn.W_K"": 48, ""blocks.1.attn.W_V"": 48, ""blocks.1.mlp.W_in"": 48, ""blocks.1.mlp.W_out"": 48, ""blocks.2.attn.W_Q"": 48, ""blocks.2.attn.W_O"": 48, ""blocks.2.attn.W_K"": 48, ""blocks.2.attn.W_V"": 48, ""blocks.2.mlp.W_in"": 48, ""blocks.2.mlp.W_out"": 48, ""blocks.3.attn.W_Q"": 48, ""blocks.3.attn.W_O"": 48, ""blocks.3.attn.W_K"": 48, ""blocks.3.attn.W_V"": 48, ""blocks.3.mlp.W_in"": 48, ""blocks.3.mlp.W_out"": 48, ""unembed.W_U"": 36}","[2.6791, 2.5527, 2.5089, 2.4723, 2.485, 2.47, 2.4418, 2.4465, 2.4646, 2.4339, 2.4609, 2.4607, 2.4576, 2.4527, 2.4535, 2.4708]"
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.5,True,0,4096,0.0001,156592,626368,2.5086488723754883,"{""blocks.0.attn.W_Q"": 32, ""blocks.0.attn.W_O"": 32, ""blocks.0.attn.W_K"": 32, ""blocks.0.attn.W_V"": 32, ""blocks.0.mlp.W_in"": 32, ""blocks.0.mlp.W_out"": 32, ""blocks.1.attn.W_Q"": 32, ""blocks.1.attn.W_O"": 32, ""blocks.1.attn.W_K"": 32, ""blocks.1.attn.W_V"": 32, ""blocks.1.mlp.W_in"": 32, ""blocks.1.mlp.W_out"": 32, ""blocks.2.attn.W_Q"": 32, ""blocks.2.attn.W_O"": 32, ""blocks.2.attn.W_K"": 32, ""blocks.2.attn.W_V"": 32, ""blocks.2.mlp.W_in"": 32, ""blocks.2.mlp.W_out"": 32, ""blocks.3.attn.W_Q"": 32, ""blocks.3.attn.W_O"": 32, ""blocks.3.attn.W_K"": 32, ""blocks.3.attn.W_V"": 32, ""blocks.3.mlp.W_in"": 32, ""blocks.3.mlp.W_out"": 32, ""unembed.W_U"": 24}","[2.7513, 2.5822, 2.5365, 2.4975, 2.5087, 2.4971, 2.4687, 2.4675, 2.4863, 2.455, 2.4823, 2.4782, 2.4794, 2.4804, 2.4743, 2.4928]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.5,False,0,4096,0.0001,156592,626368,2.5169312953948975,"{""blocks.0.attn.W_Q"": 32, ""blocks.0.attn.W_O"": 32, ""blocks.0.attn.W_K"": 32, ""blocks.0.attn.W_V"": 32, ""blocks.0.mlp.W_in"": 32, ""blocks.0.mlp.W_out"": 32, ""blocks.1.attn.W_Q"": 32, ""blocks.1.attn.W_O"": 32, ""blocks.1.attn.W_K"": 32, ""blocks.1.attn.W_V"": 32, ""blocks.1.mlp.W_in"": 32, ""blocks.1.mlp.W_out"": 32, ""blocks.2.attn.W_Q"": 32, ""blocks.2.attn.W_O"": 32, ""blocks.2.attn.W_K"": 32, ""blocks.2.attn.W_V"": 32, ""blocks.2.mlp.W_in"": 32, ""blocks.2.mlp.W_out"": 32, ""blocks.3.attn.W_Q"": 32, ""blocks.3.attn.W_O"": 32, ""blocks.3.attn.W_K"": 32, ""blocks.3.attn.W_V"": 32, ""blocks.3.mlp.W_in"": 32, ""blocks.3.mlp.W_out"": 32, ""unembed.W_U"": 24}","[2.7282, 2.5914, 2.5475, 2.5099, 2.5191, 2.5049, 2.4779, 2.4825, 2.4924, 2.4695, 2.4894, 2.4894, 2.4893, 2.4886, 2.4883, 2.5027]"
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.375,True,0,4096,0.0001,119056,476224,2.5566039085388184,"{""blocks.0.attn.W_Q"": 24, ""blocks.0.attn.W_O"": 24, ""blocks.0.attn.W_K"": 24, ""blocks.0.attn.W_V"": 24, ""blocks.0.mlp.W_in"": 24, ""blocks.0.mlp.W_out"": 24, ""blocks.1.attn.W_Q"": 24, ""blocks.1.attn.W_O"": 24, ""blocks.1.attn.W_K"": 24, ""blocks.1.attn.W_V"": 24, ""blocks.1.mlp.W_in"": 24, ""blocks.1.mlp.W_out"": 24, ""blocks.2.attn.W_Q"": 24, ""blocks.2.attn.W_O"": 24, ""blocks.2.attn.W_K"": 24, ""blocks.2.attn.W_V"": 24, ""blocks.2.mlp.W_in"": 24, ""blocks.2.mlp.W_out"": 24, ""blocks.3.attn.W_Q"": 24, ""blocks.3.attn.W_O"": 24, ""blocks.3.attn.W_K"": 24, ""blocks.3.attn.W_V"": 24, ""blocks.3.mlp.W_in"": 24, ""blocks.3.mlp.W_out"": 24, ""unembed.W_U"": 18}","[2.7755, 2.6224, 2.5748, 2.5444, 2.5551, 2.5472, 2.5109, 2.5178, 2.5358, 2.5066, 2.5256, 2.5336, 2.5385, 2.5364, 2.5349, 2.5459]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.375,False,0,4096,0.0001,119056,476224,2.5507290363311768,"{""blocks.0.attn.W_Q"": 24, ""blocks.0.attn.W_O"": 24, ""blocks.0.attn.W_K"": 24, ""blocks.0.attn.W_V"": 24, ""blocks.0.mlp.W_in"": 24, ""blocks.0.mlp.W_out"": 24, ""blocks.1.attn.W_Q"": 24, ""blocks.1.attn.W_O"": 24, ""blocks.1.attn.W_K"": 24, ""blocks.1.attn.W_V"": 24, ""blocks.1.mlp.W_in"": 24, ""blocks.1.mlp.W_out"": 24, ""blocks.2.attn.W_Q"": 24, ""blocks.2.attn.W_O"": 24, ""blocks.2.attn.W_K"": 24, ""blocks.2.attn.W_V"": 24, ""blocks.2.mlp.W_in"": 24, ""blocks.2.mlp.W_out"": 24, ""blocks.3.attn.W_Q"": 24, ""blocks.3.attn.W_O"": 24, ""blocks.3.attn.W_K"": 24, ""blocks.3.attn.W_V"": 24, ""blocks.3.mlp.W_in"": 24, ""blocks.3.mlp.W_out"": 24, ""unembed.W_U"": 18}","[2.7731, 2.6326, 2.5894, 2.5363, 2.5511, 2.5405, 2.5117, 2.5093, 2.5203, 2.5067, 2.5229, 2.5177, 2.5233, 2.5237, 2.5212, 2.532]"
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.25,True,0,4096,0.0001,81520,326080,2.7170519828796387,"{""blocks.0.attn.W_Q"": 16, ""blocks.0.attn.W_O"": 16, ""blocks.0.attn.W_K"": 16, ""blocks.0.attn.W_V"": 16, ""blocks.0.mlp.W_in"": 16, ""blocks.0.mlp.W_out"": 16, ""blocks.1.attn.W_Q"": 16, ""blocks.1.attn.W_O"": 16, ""blocks.1.attn.W_K"": 16, ""blocks.1.attn.W_V"": 16, ""blocks.1.mlp.W_in"": 16, ""blocks.1.mlp.W_out"": 16, ""blocks.2.attn.W_Q"": 16, ""blocks.2.attn.W_O"": 16, ""blocks.2.attn.W_K"": 16, ""blocks.2.attn.W_V"": 16, ""blocks.2.mlp.W_in"": 16, ""blocks.2.mlp.W_out"": 16, ""blocks.3.attn.W_Q"": 16, ""blocks.3.attn.W_O"": 16, ""blocks.3.attn.W_K"": 16, ""blocks.3.attn.W_V"": 16, ""blocks.3.mlp.W_in"": 16, ""blocks.3.mlp.W_out"": 16, ""unembed.W_U"": 12}","[2.9757, 2.7911, 2.7485, 2.7035, 2.7149, 2.7106, 2.665, 2.6729, 2.6733, 2.6678, 2.6837, 2.6894, 2.6838, 2.6967, 2.7086, 2.6874]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.25,False,0,4096,0.0001,81520,326080,2.7848711013793945,"{""blocks.0.attn.W_Q"": 16, ""blocks.0.attn.W_O"": 16, ""blocks.0.attn.W_K"": 16, ""blocks.0.attn.W_V"": 16, ""blocks.0.mlp.W_in"": 16, ""blocks.0.mlp.W_out"": 16, ""blocks.1.attn.W_Q"": 16, ""blocks.1.attn.W_O"": 16, ""blocks.1.attn.W_K"": 16, ""blocks.1.attn.W_V"": 16, ""blocks.1.mlp.W_in"": 16, ""blocks.1.mlp.W_out"": 16, ""blocks.2.attn.W_Q"": 16, ""blocks.2.attn.W_O"": 16, ""blocks.2.attn.W_K"": 16, ""blocks.2.attn.W_V"": 16, ""blocks.2.mlp.W_in"": 16, ""blocks.2.mlp.W_out"": 16, ""blocks.3.attn.W_Q"": 16, ""blocks.3.attn.W_O"": 16, ""blocks.3.attn.W_K"": 16, ""blocks.3.attn.W_V"": 16, ""blocks.3.mlp.W_in"": 16, ""blocks.3.mlp.W_out"": 16, ""unembed.W_U"": 12}","[2.9531, 2.8359, 2.8065, 2.7736, 2.7798, 2.7885, 2.7562, 2.7461, 2.7485, 2.7488, 2.7711, 2.7571, 2.762, 2.7836, 2.7871, 2.7599]"
FWSVD,16,per_channel,False,"Hsu et al., ICLR 2022, arXiv:2207.00112",0.125,True,0,4096,0.0001,43984,175936,3.2196221351623535,"{""blocks.0.attn.W_Q"": 8, ""blocks.0.attn.W_O"": 8, ""blocks.0.attn.W_K"": 8, ""blocks.0.attn.W_V"": 8, ""blocks.0.mlp.W_in"": 8, ""blocks.0.mlp.W_out"": 8, ""blocks.1.attn.W_Q"": 8, ""blocks.1.attn.W_O"": 8, ""blocks.1.attn.W_K"": 8, ""blocks.1.attn.W_V"": 8, ""blocks.1.mlp.W_in"": 8, ""blocks.1.mlp.W_out"": 8, ""blocks.2.attn.W_Q"": 8, ""blocks.2.attn.W_O"": 8, ""blocks.2.attn.W_K"": 8, ""blocks.2.attn.W_V"": 8, ""blocks.2.mlp.W_in"": 8, ""blocks.2.mlp.W_out"": 8, ""blocks.3.attn.W_Q"": 8, ""blocks.3.attn.W_O"": 8, ""blocks.3.attn.W_K"": 8, ""blocks.3.attn.W_V"": 8, ""blocks.3.mlp.W_in"": 8, ""blocks.3.mlp.W_out"": 8, ""unembed.W_U"": 6}","[3.2368, 3.2262, 3.203, 3.1903, 3.1747, 3.1796, 3.2113, 3.1655, 3.1539, 3.241, 3.2574, 3.1953, 3.1956, 3.3528, 3.3235, 3.2069]"
SVD,16,per_channel,False,plain truncated SVD (paper's baseline),0.125,False,0,4096,0.0001,43984,175936,3.5229439735412598,"{""blocks.0.attn.W_Q"": 8, ""blocks.0.attn.W_O"": 8, ""blocks.0.attn.W_K"": 8, ""blocks.0.attn.W_V"": 8, ""blocks.0.mlp.W_in"": 8, ""blocks.0.mlp.W_out"": 8, ""blocks.1.attn.W_Q"": 8, ""blocks.1.attn.W_O"": 8, ""blocks.1.attn.W_K"": 8, ""blocks.1.attn.W_V"": 8, ""blocks.1.mlp.W_in"": 8, ""blocks.1.mlp.W_out"": 8, ""blocks.2.attn.W_Q"": 8, ""blocks.2.attn.W_O"": 8, ""blocks.2.attn.W_K"": 8, ""blocks.2.attn.W_V"": 8, ""blocks.2.mlp.W_in"": 8, ""blocks.2.mlp.W_out"": 8, ""blocks.3.attn.W_Q"": 8, ""blocks.3.attn.W_O"": 8, ""blocks.3.attn.W_K"": 8, ""blocks.3.attn.W_V"": 8, ""blocks.3.mlp.W_in"": 8, ""blocks.3.mlp.W_out"": 8, ""unembed.W_U"": 6}","[3.3577, 3.4375, 3.4329, 3.5619, 3.4628, 3.3999, 3.5664, 3.5168, 3.4284, 3.5401, 3.6369, 3.5391, 3.4685, 3.7617, 3.7619, 3.4945]"
