method,bits,granularity,symmetric,params,bytes,loss,loss_per_pos
fp32,32,-,-,206128,824512,2.4761340618133545,"[2.67, 2.5463, 2.5019, 2.466, 2.4783, 2.4662, 2.4353, 2.4423, 2.4608, 2.4279, 2.4563, 2.4564, 2.4503, 2.4464, 2.4468, 2.467]"
GPTQ,8,per_channel,False,206128,223104,2.476147174835205,"[2.67, 2.5462, 2.5018, 2.4661, 2.4783, 2.4663, 2.4352, 2.4423, 2.4609, 2.428, 2.4563, 2.4564, 2.4503, 2.4465, 2.4469, 2.467]"
GPTQ,8,per_channel,True,206128,223104,2.4761266708374023,"[2.6701, 2.5463, 2.5019, 2.4661, 2.4783, 2.4661, 2.4352, 2.4422, 2.4609, 2.4278, 2.4563, 2.4564, 2.4503, 2.4464, 2.4467, 2.4671]"
GPTQ,6,per_channel,False,206128,172160,2.476140022277832,"[2.6699, 2.5462, 2.5021, 2.4658, 2.4782, 2.4664, 2.4352, 2.4425, 2.461, 2.4283, 2.4558, 2.4561, 2.4501, 2.4463, 2.4469, 2.4673]"
GPTQ,6,per_channel,True,206128,172160,2.4762156009674072,"[2.6699, 2.5466, 2.5019, 2.4662, 2.4783, 2.4664, 2.4356, 2.4426, 2.4608, 2.4276, 2.4564, 2.4564, 2.4503, 2.4465, 2.4467, 2.4672]"
GPTQ,5,per_channel,False,206128,146688,2.4765427112579346,"[2.6701, 2.5469, 2.5018, 2.4665, 2.4792, 2.4665, 2.4359, 2.4431, 2.4612, 2.428, 2.456, 2.4567, 2.451, 2.4468, 2.4472, 2.4678]"
GPTQ,5,per_channel,True,206128,146688,2.476743221282959,"[2.6705, 2.5475, 2.5017, 2.4673, 2.4785, 2.4667, 2.4353, 2.4432, 2.4618, 2.4288, 2.4567, 2.4568, 2.4506, 2.4471, 2.448, 2.4676]"
GPTQ,4,per_channel,False,206128,121216,2.4782395362854004,"[2.6715, 2.5467, 2.5038, 2.4671, 2.4813, 2.4682, 2.437, 2.4445, 2.4645, 2.4293, 2.4593, 2.4582, 2.4519, 2.4481, 2.4508, 2.4697]"
GPTQ,4,per_channel,True,206128,121216,2.479391574859619,"[2.6714, 2.5493, 2.5059, 2.4695, 2.4808, 2.4691, 2.4392, 2.4466, 2.4641, 2.4301, 2.4587, 2.4604, 2.4532, 2.4488, 2.4521, 2.471]"
GPTQ,3,per_channel,False,206128,95744,2.4849588871002197,"[2.6796, 2.5557, 2.5134, 2.4743, 2.4857, 2.4757, 2.4424, 2.4491, 2.4697, 2.4375, 2.4632, 2.4667, 2.4611, 2.4594, 2.4516, 2.4742]"
GPTQ,3,per_channel,True,206128,95744,2.491954803466797,"[2.6819, 2.5627, 2.5186, 2.4835, 2.4946, 2.4814, 2.4479, 2.4583, 2.4773, 2.4424, 2.4721, 2.4693, 2.4682, 2.467, 2.4631, 2.4828]"
GPTQ,2,per_channel,False,206128,70272,2.5477664470672607,"[2.7198, 2.6201, 2.5804, 2.5353, 2.5461, 2.5432, 2.5094, 2.5104, 2.5369, 2.5015, 2.5263, 2.5382, 2.5085, 2.5177, 2.5229, 2.5476]"
GPTQ,2,per_channel,True,206128,70272,3.259875774383545,"[3.8193, 3.1826, 3.0973, 3.2726, 3.0652, 3.1577, 3.1307, 3.2374, 3.1507, 3.2532, 3.3782, 3.2043, 3.1478, 3.257, 3.3687, 3.4354]"
