method,rank_ratio,bits,params,bytes,loss,loss_per_pos
FWSVD+RTN,0.25,8,81520,100144,2.4901747703552246,"[2.687, 2.5619, 2.5152, 2.4784, 2.4932, 2.4811, 2.4453, 2.4565, 2.4742, 2.4435, 2.4693, 2.471, 2.4638, 2.4608, 2.4634, 2.4781]"
FWSVD+RTN,0.25,4,81520,60560,2.52364444732666,"[2.7157, 2.5908, 2.5483, 2.5107, 2.5317, 2.5202, 2.4806, 2.4884, 2.5064, 2.4726, 2.5074, 2.5025, 2.4951, 2.4931, 2.4984, 2.5164]"
FWSVD+QAT,0.25,4,81520,60560,2.4949166774749756,"[2.6889, 2.5621, 2.5175, 2.4859, 2.5017, 2.4846, 2.451, 2.4645, 2.4822, 2.446, 2.4698, 2.4776, 2.4673, 2.4683, 2.4648, 2.4865]"
FWSVD+RTN,0.25,3,81520,50664,2.6401195526123047,"[2.8037, 2.7075, 2.6635, 2.6213, 2.6483, 2.6277, 2.6108, 2.6219, 2.635, 2.5981, 2.6196, 2.6212, 2.6128, 2.6148, 2.6055, 2.6301]"
FWSVD+QAT,0.25,3,81520,50664,2.516494035720825,"[2.7086, 2.5867, 2.5412, 2.5025, 2.5191, 2.5023, 2.4769, 2.4834, 2.5036, 2.4644, 2.4965, 2.4979, 2.4949, 2.4879, 2.4896, 2.5084]"
FWSVD+RTN,0.25,2,81520,40768,3.393922805786133,"[3.2824, 3.4719, 3.4537, 3.2545, 3.4386, 3.339, 3.3227, 3.2578, 3.4585, 3.3223, 3.3847, 3.48, 3.4122, 3.4729, 3.4505, 3.501]"
FWSVD+QAT,0.25,2,81520,40768,2.6099438667297363,"[2.7805, 2.6749, 2.6333, 2.5801, 2.6111, 2.6071, 2.5652, 2.578, 2.6004, 2.5727, 2.594, 2.5935, 2.585, 2.5938, 2.5861, 2.6034]"
FWSVD+RTN,0.125,8,43984,61816,2.5809807777404785,"[2.8216, 2.6444, 2.6155, 2.5567, 2.5746, 2.5733, 2.5405, 2.5455, 2.5529, 2.5419, 2.5617, 2.5475, 2.5394, 2.5553, 2.5653, 2.5597]"
FWSVD+RTN,0.125,4,43984,41000,2.6086697578430176,"[2.8334, 2.6839, 2.6325, 2.5845, 2.6051, 2.6034, 2.5665, 2.5765, 2.5772, 2.5735, 2.593, 2.5752, 2.5685, 2.5815, 2.5922, 2.5918]"
FWSVD+QAT,0.125,4,43984,41000,2.5324649810791016,"[2.714, 2.5964, 2.5559, 2.5198, 2.54, 2.5224, 2.4941, 2.498, 2.5203, 2.4873, 2.5155, 2.5142, 2.5072, 2.512, 2.503, 2.5194]"
FWSVD+RTN,0.125,3,43984,35796,2.755850315093994,"[2.9662, 2.8234, 2.7486, 2.7179, 2.7402, 2.7359, 2.7049, 2.7211, 2.7391, 2.7447, 2.7388, 2.7224, 2.7227, 2.7653, 2.7456, 2.7567]"
FWSVD+QAT,0.125,3,43984,35796,2.5711669921875,"[2.7416, 2.633, 2.5883, 2.5535, 2.5813, 2.5648, 2.5268, 2.5383, 2.5568, 2.5317, 2.5538, 2.5555, 2.5531, 2.5508, 2.5494, 2.5599]"
FWSVD+RTN,0.125,2,43984,30592,3.1546339988708496,"[3.2088, 3.1506, 3.2577, 3.1118, 3.3845, 3.0743, 3.0676, 3.0956, 3.2201, 3.0685, 3.0939, 3.1674, 3.1295, 3.1618, 3.0794, 3.2027]"
FWSVD+QAT,0.125,2,43984,30592,2.7263569831848145,"[2.8767, 2.78, 2.7478, 2.7112, 2.7187, 2.7268, 2.6864, 2.6968, 2.7285, 2.7038, 2.706, 2.7101, 2.7149, 2.7024, 2.6929, 2.7188]"
FWSVD+RTN,0.0625,8,25216,42652,2.8944926261901855,"[3.0245, 2.9049, 2.9484, 2.929, 2.8629, 2.953, 2.9124, 2.8875, 2.8622, 2.8898, 2.8696, 2.8777, 2.8322, 2.8528, 2.8476, 2.8574]"
FWSVD+RTN,0.0625,4,25216,31220,2.8727402687072754,"[3.0289, 2.9176, 2.9172, 2.8783, 2.8395, 2.8987, 2.869, 2.8534, 2.8425, 2.8433, 2.8632, 2.8459, 2.8187, 2.8411, 2.8545, 2.852]"
FWSVD+QAT,0.0625,4,25216,31220,2.67026424407959,"[2.8015, 2.7124, 2.6886, 2.6522, 2.69, 2.6674, 2.635, 2.6418, 2.6619, 2.6424, 2.6606, 2.6511, 2.6522, 2.6456, 2.6612, 2.6602]"
FWSVD+RTN,0.0625,3,25216,28362,3.1430530548095703,"[3.1247, 3.0751, 3.1226, 3.1695, 3.1208, 3.0844, 3.2413, 3.1384, 3.0921, 3.1418, 3.1955, 3.1205, 3.1135, 3.2451, 3.2287, 3.0748]"
FWSVD+QAT,0.0625,3,25216,28362,2.7396202087402344,"[2.8621, 2.7767, 2.7555, 2.7169, 2.757, 2.7288, 2.7046, 2.7124, 2.7458, 2.713, 2.7395, 2.7201, 2.7282, 2.7124, 2.7315, 2.7294]"
FWSVD+RTN,0.0625,2,25216,25504,3.324735164642334,"[3.2828, 3.1996, 3.4381, 3.3469, 3.481, 3.2853, 3.3285, 3.2703, 3.2881, 3.2165, 3.4118, 3.416, 3.2472, 3.3191, 3.3613, 3.3034]"
FWSVD+QAT,0.0625,2,25216,25504,2.9018118381500244,"[3.0097, 2.9281, 2.91, 2.8826, 2.9175, 2.8818, 2.8734, 2.8693, 2.8871, 2.9007, 2.9021, 2.8937, 2.888, 2.8909, 2.8958, 2.8984]"
