method,bits,granularity,symmetric,params,bytes,loss,loss_per_pos
fp32,32,-,-,206128,824512,2.4761340618133545,"[2.67, 2.5463, 2.5019, 2.466, 2.4783, 2.4662, 2.4353, 2.4423, 2.4608, 2.4279, 2.4563, 2.4564, 2.4503, 2.4464, 2.4468, 2.467]"
RTN,16,per_channel,False,206128,426880,2.4761338233947754,"[2.67, 2.5463, 2.5019, 2.466, 2.4783, 2.4662, 2.4353, 2.4423, 2.4608, 2.4279, 2.4563, 2.4564, 2.4503, 2.4464, 2.4468, 2.467]"
RTN,16,per_channel,True,206128,426880,2.4761338233947754,"[2.67, 2.5463, 2.5019, 2.466, 2.4783, 2.4662, 2.4352, 2.4423, 2.4608, 2.4279, 2.4563, 2.4564, 2.4503, 2.4464, 2.4468, 2.467]"
RTN,16,per_tensor,False,206128,417068,2.4761338233947754,"[2.67, 2.5463, 2.5019, 2.466, 2.4783, 2.4662, 2.4352, 2.4423, 2.4608, 2.4279, 2.4563, 2.4564, 2.4503, 2.4464, 2.4468, 2.467]"
RTN,16,per_tensor,True,206128,417068,2.4761335849761963,"[2.67, 2.5463, 2.5019, 2.466, 2.4783, 2.4662, 2.4352, 2.4423, 2.4608, 2.4279, 2.4563, 2.4564, 2.4503, 2.4464, 2.4468, 2.467]"
RTN,8,per_channel,False,206128,223104,2.4762024879455566,"[2.6701, 2.5463, 2.502, 2.466, 2.4783, 2.4661, 2.4354, 2.4423, 2.4611, 2.428, 2.4561, 2.4565, 2.4503, 2.4465, 2.4471, 2.4671]"
RTN,8,per_channel,True,206128,223104,2.476161479949951,"[2.67, 2.5465, 2.5018, 2.4662, 2.4783, 2.4662, 2.4352, 2.4423, 2.461, 2.4281, 2.4563, 2.4562, 2.4504, 2.4463, 2.4469, 2.4671]"
RTN,8,per_tensor,False,206128,213292,2.476142406463623,"[2.6701, 2.5462, 2.5019, 2.466, 2.4787, 2.4662, 2.4352, 2.4423, 2.4606, 2.428, 2.4563, 2.4565, 2.4504, 2.4463, 2.4468, 2.4667]"
RTN,8,per_tensor,True,206128,213292,2.4762840270996094,"[2.6704, 2.5464, 2.5019, 2.4663, 2.4784, 2.4664, 2.4351, 2.4424, 2.461, 2.4282, 2.4563, 2.4566, 2.4506, 2.4466, 2.4471, 2.4669]"
RTN,6,per_channel,False,206128,172160,2.476714611053467,"[2.6703, 2.5469, 2.5024, 2.4665, 2.4794, 2.4666, 2.4359, 2.4433, 2.4611, 2.4277, 2.4569, 2.457, 2.4508, 2.4471, 2.4475, 2.468]"
RTN,6,per_channel,True,206128,172160,2.477221727371216,"[2.6707, 2.5473, 2.5018, 2.4669, 2.4798, 2.4674, 2.4363, 2.4454, 2.4613, 2.4291, 2.4573, 2.4573, 2.4507, 2.4471, 2.4487, 2.4684]"
RTN,6,per_tensor,False,206128,162348,2.4776692390441895,"[2.672, 2.5472, 2.5033, 2.4672, 2.4802, 2.4671, 2.4374, 2.4443, 2.4623, 2.4281, 2.4586, 2.4577, 2.4526, 2.4483, 2.4483, 2.468]"
RTN,6,per_tensor,True,206128,162348,2.477778911590576,"[2.6713, 2.5469, 2.5032, 2.4688, 2.4784, 2.467, 2.437, 2.4448, 2.4635, 2.43, 2.4574, 2.4575, 2.4517, 2.4481, 2.449, 2.4699]"
RTN,5,per_channel,False,206128,146688,2.478591203689575,"[2.6721, 2.55, 2.5042, 2.4684, 2.482, 2.4675, 2.4369, 2.4449, 2.4626, 2.4297, 2.4593, 2.4576, 2.4534, 2.4483, 2.4503, 2.4701]"
RTN,5,per_channel,True,206128,146688,2.479846477508545,"[2.6735, 2.5496, 2.5057, 2.4695, 2.4804, 2.4704, 2.4377, 2.4453, 2.4654, 2.432, 2.4592, 2.4609, 2.4533, 2.4508, 2.4515, 2.4724]"
RTN,5,per_tensor,False,206128,136876,2.4845244884490967,"[2.6765, 2.5529, 2.5111, 2.4714, 2.485, 2.4739, 2.4436, 2.4499, 2.4692, 2.4368, 2.466, 2.4667, 2.4582, 2.4542, 2.4593, 2.4777]"
RTN,5,per_tensor,True,206128,136876,2.484649181365967,"[2.6788, 2.5573, 2.5096, 2.4735, 2.4882, 2.4736, 2.4429, 2.4506, 2.4706, 2.4342, 2.4639, 2.4668, 2.4579, 2.4545, 2.4553, 2.4767]"
RTN,4,per_channel,False,206128,121216,2.4860329627990723,"[2.679, 2.5535, 2.5111, 2.4784, 2.4869, 2.476, 2.4434, 2.4539, 2.474, 2.437, 2.4659, 2.4655, 2.4568, 2.4574, 2.4584, 2.4793]"
RTN,4,per_channel,True,206128,121216,2.495047092437744,"[2.6862, 2.5621, 2.5163, 2.4805, 2.4962, 2.4859, 2.4594, 2.4641, 2.48, 2.4467, 2.4772, 2.4762, 2.4712, 2.4657, 2.4684, 2.4846]"
RTN,4,per_tensor,False,206128,111404,2.5018787384033203,"[2.6866, 2.5691, 2.521, 2.494, 2.5081, 2.4945, 2.4626, 2.4634, 2.4871, 2.4569, 2.483, 2.4855, 2.4807, 2.475, 2.4717, 2.491]"
RTN,4,per_tensor,True,206128,111404,2.5171613693237305,"[2.701, 2.5785, 2.5449, 2.5002, 2.5242, 2.5058, 2.4737, 2.4888, 2.5055, 2.4662, 2.4967, 2.5018, 2.4982, 2.4847, 2.4929, 2.5114]"
RTN,3,per_channel,False,206128,95744,2.541492462158203,"[2.7177, 2.5987, 2.5662, 2.5278, 2.5457, 2.533, 2.493, 2.5064, 2.5298, 2.4896, 2.5227, 2.5365, 2.5284, 2.5195, 2.5136, 2.5353]"
RTN,3,per_channel,True,206128,95744,2.5726943016052246,"[2.7264, 2.6346, 2.5914, 2.5566, 2.5738, 2.5613, 2.526, 2.5611, 2.5637, 2.5297, 2.5542, 2.5649, 2.5424, 2.5466, 2.5572, 2.5731]"
RTN,3,per_tensor,False,206128,85932,2.6217708587646484,"[2.7823, 2.6932, 2.6649, 2.6198, 2.6254, 2.5963, 2.5879, 2.5991, 2.5895, 2.5637, 2.6022, 2.6037, 2.5993, 2.6033, 2.5994, 2.6184]"
RTN,3,per_tensor,True,206128,85932,2.7531089782714844,"[2.9209, 2.7924, 2.8096, 2.7622, 2.7184, 2.7509, 2.7412, 2.719, 2.7142, 2.6885, 2.7328, 2.7794, 2.7062, 2.7315, 2.7393, 2.7432]"
RTN,2,per_channel,False,206128,70272,2.858872890472412,"[3.4587, 2.9336, 2.8061, 2.8277, 2.796, 2.9095, 2.7408, 2.7613, 2.8092, 2.7517, 2.783, 2.8525, 2.8126, 2.8045, 2.8369, 2.8579]"
RTN,2,per_channel,True,206128,70272,3.8474273681640625,"[3.7458, 4.0293, 3.6897, 3.6741, 3.9357, 3.9074, 3.5789, 3.9069, 3.949, 3.8322, 4.0109, 3.954, 3.9205, 3.7284, 3.6908, 4.005]"
