mode,quantizer,bits,test_nll,test_kl,delta_vs_no_gauge_mnat
none,RTN,4,2.4860332012176514,0.014251725748181343,0.0
none,RTN,3,2.5414927005767822,0.06678642332553864,0.0
none,GPTQ,4,2.478224754333496,0.005812101531773806,0.0
none,GPTQ,3,2.4849889278411865,0.012373335659503937,0.0
relu_equalize,RTN,4,2.4853641986846924,0.013559509068727493,-0.669
relu_equalize,RTN,3,2.545278549194336,0.07043544948101044,3.786
relu_equalize,GPTQ,4,2.478027820587158,0.005668731406331062,-0.197
relu_equalize,GPTQ,3,2.4850549697875977,0.012232467532157898,0.066
qk_balance,RTN,4,2.4860329627990723,0.014251726679503918,-0.0
qk_balance,RTN,3,2.541492462158203,0.06678642332553864,-0.0
qk_balance,GPTQ,4,2.478224754333496,0.005812101531773806,0.0
qk_balance,GPTQ,3,2.4849588871002197,0.01231449842453003,-0.03
vo_balance,RTN,4,2.486052989959717,0.014219836331903934,0.02
vo_balance,RTN,3,2.541551351547241,0.06680239737033844,0.059
vo_balance,GPTQ,4,2.478390693664551,0.005895145703107119,0.166
vo_balance,GPTQ,3,2.485797882080078,0.01317430566996336,0.809
qk_rotate,RTN,4,2.486013174057007,0.014266068115830421,-0.02
qk_rotate,RTN,3,2.5410563945770264,0.06645441800355911,-0.436
qk_rotate,GPTQ,4,2.478107452392578,0.005764712579548359,-0.117
qk_rotate,GPTQ,3,2.4852802753448486,0.012710445560514927,0.291
vo_rotate,RTN,4,2.485869884490967,0.014148673042654991,-0.163
vo_rotate,RTN,3,2.5424070358276367,0.06793833523988724,0.914
vo_rotate,GPTQ,4,2.477933168411255,0.005783140659332275,-0.292
vo_rotate,GPTQ,3,2.4845612049102783,0.012114958837628365,-0.428
all,RTN,4,2.4849231243133545,0.01333534438163042,-1.11
all,RTN,3,2.5445451736450195,0.07035279273986816,3.052
all,GPTQ,4,2.4776906967163086,0.0056311869993805885,-0.534
all,GPTQ,3,2.485565662384033,0.012856055982410908,0.577
