n_shared,n_apply,init,unique_params,bytes_fp32,recovery,test_nll,test_kl
1,4,mean,56944,227776,200steps,2.6973342895507812,0.22738169133663177
1,4,mean,56944,227776,1epoch,2.509817600250244,0.03707865998148918
1,4,layer0,56944,227776,200steps,2.6974334716796875,0.22752493619918823
1,4,layer0,56944,227776,1epoch,2.494877338409424,0.023251067847013474
1,4,single_L0,56944,227776,200steps,2.6974334716796875,0.22752493619918823
1,4,single_L1,56944,227776,200steps,2.680699348449707,0.210898295044899
1,4,single_L2,56944,227776,200steps,2.6638476848602295,0.1931169480085373
1,4,single_L3,56944,227776,200steps,2.8548073768615723,0.38207727670669556
1,4,best_single_L2,56944,227776,1epoch,2.518035411834717,0.04686081409454346
2,4,mean,106672,426688,200steps,2.6088955402374268,0.13866113126277924
2,4,mean,106672,426688,1epoch,2.4917609691619873,0.019334271550178528
2,4,layer0,106672,426688,200steps,2.565617084503174,0.09513673931360245
2,4,layer0,106672,426688,1epoch,2.486544609069824,0.015291635878384113
1,8,mean,56944,227776,200steps,2.6756622791290283,0.20550575852394104
1,8,mean,56944,227776,1epoch,2.50163197517395,0.028994522988796234
1,8,layer0,56944,227776,200steps,18.185882568359375,15.728833198547363
1,8,layer0,56944,227776,1epoch,3.1736204624176025,0.7022839784622192
