order,target,removed_params,params_left,n_dead,deleted_nll,recovered_nll,d_mnat,r32_ref_params_left,r32_ref_d_mnat,dead
thermal_var_desc,6208,16640,189488,1,2.4882845878601074,2.4766287803649902,0.4947185516357422,199920,-1.230001449584961,attn.L3
thermal_var_desc,39392,66368,139760,3,2.586230754852295,2.484673261642456,8.539199829101562,154336,0.5824565887451172,attn.L3;attn.L2;mlp.L2
thermal_var_desc,51792,66368,139760,3,2.586230754852295,2.484673261642456,8.539199829101562,154336,0.5824565887451172,attn.L3;attn.L2;mlp.L2
thermal_var_desc,95216,120224,85904,8,2.814948558807373,2.524515151977539,48.38109016418457,77872,7.451295852661133,attn.L3;attn.L2;mlp.L2;qk.L3.2;ngrp.L3.7;head.L3.2;attn.L1;mlp.L1
thermal_var_desc,128256,149184,56944,17,3.5600998401641846,2.6915886402130127,215.4545783996582,65472,13.688087463378906,attn.L3;attn.L2;mlp.L2;qk.L3.2;ngrp.L3.7;head.L3.2;attn.L1;mlp.L1;head.L1.3;head.L1.0;head.L2.2;ngrp.L3.6;ngrp.L2.7;qk.L2.3;head.L3.3;head.L3.1;mlp.L3
thermal_var_desc,140656,149184,56944,17,3.5600998401641846,2.6915886402130127,215.4545783996582,65472,13.688087463378906,attn.L3;attn.L2;mlp.L2;qk.L3.2;ngrp.L3.7;head.L3.2;attn.L1;mlp.L1;head.L1.3;head.L1.0;head.L2.2;ngrp.L3.6;ngrp.L2.7;qk.L2.3;head.L3.3;head.L3.1;mlp.L3
thermal_var_desc,165520,165824,40304,21,3.6198925971984863,2.8821330070495605,405.99894523620605,40608,33.22958946228027,attn.L3;attn.L2;mlp.L2;qk.L3.2;ngrp.L3.7;head.L3.2;attn.L1;mlp.L1;head.L1.3;head.L1.0;head.L2.2;ngrp.L3.6;ngrp.L2.7;qk.L2.3;head.L3.3;head.L3.1;mlp.L3;head.L2.3;qk.L3.3;head.L1.2;attn.L0
thermal_var_desc,186384,198912,7216,35,3.7477638721466064,3.593914270401001,1117.7802085876465,13536,186.48695945739746,attn.L3;attn.L2;mlp.L2;qk.L3.2;ngrp.L3.7;head.L3.2;attn.L1;mlp.L1;head.L1.3;head.L1.0;head.L2.2;ngrp.L3.6;ngrp.L2.7;qk.L2.3;head.L3.3;head.L3.1;mlp.L3;head.L2.3;qk.L3.3;head.L1.2;attn.L0;qk.L0.0;ngrp.L3.4;ngrp.L3.5;head.L2.1;ngrp.L2.6;ngrp.L3.2;ngrp.L1.7;ngrp.L3.3;ngrp.L2.5;ngrp.L2.3;head.L2.0;qk.L3.0;ngrp.L1.6;mlp.L0
thermal_var_desc,192592,198912,7216,35,3.7477638721466064,3.593914270401001,1117.7802085876465,13536,186.48695945739746,attn.L3;attn.L2;mlp.L2;qk.L3.2;ngrp.L3.7;head.L3.2;attn.L1;mlp.L1;head.L1.3;head.L1.0;head.L2.2;ngrp.L3.6;ngrp.L2.7;qk.L2.3;head.L3.3;head.L3.1;mlp.L3;head.L2.3;qk.L3.3;head.L1.2;attn.L0;qk.L0.0;ngrp.L3.4;ngrp.L3.5;head.L2.1;ngrp.L2.6;ngrp.L3.2;ngrp.L1.7;ngrp.L3.3;ngrp.L2.5;ngrp.L2.3;head.L2.0;qk.L3.0;ngrp.L1.6;mlp.L0
thermal_var_desc_fine,6208,6208,199920,2,2.4771480560302734,2.47576904296875,-0.3650188446044922,199920,-1.230001449584961,qk.L3.2;ngrp.L3.7
thermal_var_desc_fine,39392,41392,164736,12,2.4979190826416016,2.480112075805664,3.9780139923095703,166736,-0.3612041473388672,qk.L3.2;ngrp.L3.7;head.L3.2;head.L1.3;head.L1.0;head.L2.2;ngrp.L3.6;ngrp.L2.7;qk.L2.3;head.L3.3;head.L3.1;head.L2.3
